gene	chromosome	start	end	strand	log2FC	FDR
ITPK1	chr14	93403259	93582665	-	0.756873661	0.5902685023726824686818
IGFALS	chr16	1840414	1844972	-	-0.573497481	1.0000000000000000000000
HAGH	chr16	1845621	1877195	-	0.266398938	1.0000000000000000000000
FAHD1	chr16	1876968	1890208	+	0.195078609	1.0000000000000000000000
MEIOB	chr16	1883984	1934295	-	-0.460031430	1.0000000000000000000000
HS3ST6	chr16	1961464	1968441	-	NA	NA
MSRB1	chr16	1988211	1993327	-	0.969835261	0.0187535825246061896299
MIR4717	chr16	2324621	2324692	+	NA	NA
RP11-297D21.2	chr16	67464570	67465367	-	NA	NA
ZFP90	chr16	68563993	68609948	+	-0.455058717	1.0000000000000000000000
RP11-615I2.7	chr16	68595964	68601032	+	-0.216880638	1.0000000000000000000000
CDH3	chr16	68670092	68756519	+	-0.258835465	1.0000000000000000000000
CDH1	chr16	68771128	68869445	+	-0.995710727	0.5081691139163633241793
TMCO7	chr16	68877507	69119083	+	-0.179653180	1.0000000000000000000000
RP11-521L9.1	chr16	68961450	68982164	-	NA	NA
HAS3	chr16	69139467	69152622	+	-0.326292906	1.0000000000000000000000
CHTF8	chr16	69151913	69166487	-	-0.205630698	1.0000000000000000000000
CIRH1A	chr16	69165194	69202941	+	-0.040561248	1.0000000000000000000000
RNU6-22	chr16	69209574	69209680	-	NA	NA
SNTB2	chr16	69221032	69342955	+	0.168920852	1.0000000000000000000000
MIR22HG	chr17	1614805	1620468	-	0.454533509	1.0000000000000000000000
WDR81	chr17	1619817	1641893	+	-0.066517550	1.0000000000000000000000
SERPINF2	chr17	1646130	1658562	+	-0.279965070	1.0000000000000000000000
AC130343.1	chr17	1653763	1656789	-	-0.319257718	1.0000000000000000000000
SERPINF1	chr17	1665253	1680868	+	-0.404807706	1.0000000000000000000000
SMYD4	chr17	1682779	1733928	-	-0.225584905	1.0000000000000000000000
RPA1	chr17	1732996	1803376	+	-0.440055488	0.6149760324524105037369
CTD-2545H1.1	chr17	1923246	1926958	-	NA	NA
ITGAE	chr17	3617922	3704537	-	0.160333080	1.0000000000000000000000
GSG2	chr17	3627211	3630067	+	0.791416592	0.4099991053141159302875
GABARAP	chr17	7143333	7146089	-	0.478705867	1.0000000000000000000000
CTDNEP1	chr17	7146910	7155810	-	0.076270339	1.0000000000000000000000
ELP5	chr17	7154735	7163259	+	-0.075144354	1.0000000000000000000000
CLDN7	chr17	7163222	7167302	-	-0.090335092	1.0000000000000000000000
SLC2A4	chr17	7184986	7191576	+	0.088743545	1.0000000000000000000000
YBX2	chr17	7191571	7197934	-	0.984849161	1.0000000000000000000000
RP11-542C16.2	chr17	7215980	7230158	-	NA	NA
SEBOX	chr17	26691290	26697373	-	NA	NA
VTN	chr17	26694297	26700110	-	0.318720856	1.0000000000000000000000
SLC46A1	chr17	26721661	26734215	-	-0.281041869	1.0000000000000000000000
SLC13A2	chr17	26800311	26824799	+	NA	NA
FOXN1	chr17	26833261	26865914	+	NA	NA
UNC119	chr17	26873725	26879686	-	0.311769794	1.0000000000000000000000
RPL19	chr17	37356536	37360980	+	0.080750927	1.0000000000000000000000
STAC2	chr17	37366789	37382125	-	NA	NA
RP11-690G19.3	chr17	37408916	37410550	-	0.243757001	1.0000000000000000000000
RP11-94L15.2	chr17	37913974	37920089	-	-0.606792141	0.0889749702478279946849
IKZF3	chr17	37921198	38020441	-	-0.635919253	0.8437802472135910170081
ZPBP2	chr17	38024417	38034149	+	NA	NA
GSDMB	chr17	38060848	38077313	-	0.156854240	1.0000000000000000000000
ORMDL3	chr17	38077294	38083854	-	0.142270562	1.0000000000000000000000
RP11-387H17.4	chr17	38083995	38095854	+	0.922458609	0.5867450810832748331336
LRRC3C	chr17	38097727	38101000	+	NA	NA
GSDMA	chr17	38119226	38134019	+	0.427102291	1.0000000000000000000000
PSMD3	chr17	38137050	38154213	+	0.093359967	1.0000000000000000000000
RP11-387H17.6	chr17	38168479	38170958	-	-0.017768506	1.0000000000000000000000
CSF3	chr17	38171614	38174066	+	0.413975282	1.0000000000000000000000
SNORD124	chr17	38183795	38183898	-	-0.643348191	1.0000000000000000000000
DHX58	chr17	40253422	40264751	-	1.937100645	0.0000115747909328821309
KAT2A	chr17	40265126	40273376	-	-0.086556645	1.0000000000000000000000
RAB5C	chr17	40271692	40307035	-	0.278430324	1.0000000000000000000000
HSPB9	chr17	40274756	40275371	+	1.495441135	0.0000700104164512531911
RP11-358B23.1	chr17	40306618	40307990	+	0.805636372	1.0000000000000000000000
KCNH4	chr17	40308913	40333296	-	-0.642488185	1.0000000000000000000000
HCRT	chr17	40336078	40337470	-	0.443760458	1.0000000000000000000000
CCR10	chr17	40830907	40835935	-	-1.289375258	0.0114169254361257965780
EZH1	chr17	40852293	40897071	-	0.267744904	1.0000000000000000000000
RAMP2-AS1	chr17	40905932	40913275	-	0.589206081	1.0000000000000000000000
RAMP2	chr17	40910465	40915059	+	0.589206081	1.0000000000000000000000
VPS25	chr17	40925454	40931617	+	0.444189865	0.6022459577124863461250
WNK4	chr17	40932696	40948954	+	0.327570126	1.0000000000000000000000
COA3	chr17	40947165	40950722	-	0.229971544	1.0000000000000000000000
CNTD1	chr17	40950810	40963605	+	0.158152049	1.0000000000000000000000
LINC00671	chr17	41026687	41050751	-	2.585208325	0.0000000000001214168693
G6PC	chr17	41052814	41065386	+	0.053390574	1.0000000000000000000000
AARSD1	chr17	41102543	41116515	-	-0.447826995	1.0000000000000000000000
PTGES3L	chr17	41120105	41132545	-	NA	NA
RUNDC1	chr17	41132582	41145707	+	0.118921098	1.0000000000000000000000
RPL27	chr17	41150290	41154976	+	0.686555160	1.0000000000000000000000
IFI35	chr17	41158742	41166473	+	2.084414150	0.0000001679359110947214
VAT1	chr17	41166622	41177140	-	0.532776251	1.0000000000000000000000
RND2	chr17	41177258	41184057	+	0.307605039	1.0000000000000000000000
TBX21	chr17	45810610	45823485	+	-0.812131197	0.3355013139785708031759
OSBPL7	chr17	45884738	45899200	-	-0.427253806	1.0000000000000000000000
MRPL10	chr17	45900638	45908900	-	-0.206217888	1.0000000000000000000000
LRRC46	chr17	45908993	45915079	+	-0.206296876	1.0000000000000000000000
SCRN2	chr17	45915058	45918699	-	-0.366022929	1.0000000000000000000000
SP6	chr17	45922279	45933240	-	0.607420761	1.0000000000000000000000
RP11-6N17.1	chr17	45940708	45942556	+	NA	NA
RP11-6N17.2	chr17	45956838	45959764	-	-0.265872031	1.0000000000000000000000
SP2	chr17	45973516	46006323	+	0.125038002	1.0000000000000000000000
PNPO	chr17	46018872	46025654	+	-0.153353767	1.0000000000000000000000
PRR15L	chr17	46029333	46035244	-	-0.539989432	1.0000000000000000000000
CDK5RAP3	chr17	46045176	46059140	+	0.074609243	1.0000000000000000000000
MIR152	chr17	46114527	46114613	-	NA	NA
LLGL2	chr17	73521161	73571289	+	-0.557772554	0.7902377301063383541191
MYO15B	chr17	73584139	73622929	+	0.308576890	1.0000000000000000000000
RECQL5	chr17	73622925	73663269	-	-0.133702615	1.0000000000000000000000
SMIM5	chr17	73629514	73637484	+	0.009824560	1.0000000000000000000000
SMIM6	chr17	73642323	73644057	+	-0.252289652	1.0000000000000000000000
SAP30BP	chr17	73663196	73704142	+	0.014377627	1.0000000000000000000000
TMEM105	chr17	79285074	79304474	-	0.934765858	1.0000000000000000000000
RP11-1055B8.3	chr17	79349801	79359160	-	NA	NA
RP11-1055B8.6	chr17	79369275	79376779	+	1.117758832	0.2012761840684662573153
BAHCC1	chr17	79373540	79433357	+	0.759294935	0.4250834237417781547030
MIR4740	chr17	79374516	79374578	-	NA	NA
MIR3186	chr17	79418130	79418214	-	NA	NA
PALM	chr19	708953	748329	+	-0.104414671	1.0000000000000000000000
C19orf21	chr19	751126	764318	+	NA	NA
AC006273.5	chr19	782796	785080	+	NA	NA
AC006273.7	chr19	786365	786965	+	0.863489368	1.0000000000000000000000
PTBP1	chr19	797075	812327	+	-0.226819314	1.0000000000000000000000
LPPR3	chr19	812518	821978	-	0.889591984	0.9033750312142899696610
AZU1	chr19	825097	832017	+	6.924674702	0.0000000000000003862719
PRTN3	chr19	840974	848180	+	7.771280441	0.0000000000000002037038
ELANE	chr19	851014	856242	+	7.497974191	0.0000000000000013681627
CFD	chr19	859453	863569	+	0.222475120	1.0000000000000000000000
CELF5	chr19	3224701	3297074	+	0.186418770	1.0000000000000000000000
NFIC	chr19	3359561	3469215	+	0.143897032	1.0000000000000000000000
C19orf77	chr19	3474405	3480540	-	1.211131924	0.1687757746424276839026
MATK	chr19	3777971	3802127	-	-0.660149018	0.7358957161777006650283
ZFR2	chr19	3804022	3869030	-	-0.723039215	1.0000000000000000000000
ATCAY	chr19	3879862	3928077	+	NA	NA
NMRK2	chr19	3933101	3942414	+	NA	NA
SPC24	chr19	11242196	11266484	-	1.587793003	0.0000530065103341387180
KANK2	chr19	11274943	11308467	-	0.424668083	1.0000000000000000000000
C19orf80	chr19	11348178	11352619	+	NA	NA
CALR	chr19	13049392	13055303	+	0.073569682	1.0000000000000000000000
RAD23A	chr19	13056669	13064456	+	-0.056532428	1.0000000000000000000000
GADD45GIP1	chr19	13064972	13068050	-	0.373724463	1.0000000000000000000000
DAND5	chr19	13075973	13085567	+	NA	NA
AC005513.1	chr19	13486743	13486827	-	NA	NA
AC008686.1	chr19	13890884	13900972	-	0.449930061	1.0000000000000000000000
ZSWIM4	chr19	13906274	13943044	+	0.389051806	1.0000000000000000000000
CTD-3252C9.4	chr19	13945330	13947103	-	0.404984101	1.0000000000000000000000
MIR24-2	chr19	13947101	13947173	-	0.252448412	1.0000000000000000000000
MIR27A	chr19	13947254	13947331	-	0.413272418	1.0000000000000000000000
MIR23A	chr19	13947401	13947473	-	0.395582515	1.0000000000000000000000
NANOS3	chr19	13972877	13991571	+	0.138295867	1.0000000000000000000000
MIR181C	chr19	13985513	13985622	+	NA	NA
MIR181D	chr19	13985689	13985825	+	NA	NA
CTD-3222D19.2	chr19	16589878	16739015	-	NA	NA
USHBP1	chr19	17359985	17393595	-	0.363322605	1.0000000000000000000000
ANKLE1	chr19	17392454	17398455	+	0.212116135	1.0000000000000000000000
ABHD8	chr19	17402940	17421045	-	0.349033804	1.0000000000000000000000
MRPL34	chr19	17403418	17417652	+	0.205505980	1.0000000000000000000000
DDA1	chr19	17420327	17434110	+	0.031343707	1.0000000000000000000000
ANO8	chr19	17434032	17445638	-	-0.194687175	1.0000000000000000000000
GTPBP3	chr19	17445729	17453544	+	-0.225310805	1.0000000000000000000000
PLVAP	chr19	17462257	17488159	-	0.819533225	1.0000000000000000000000
CTD-2521M24.5	chr19	17502238	17503093	-	2.735031052	0.0000002264551285497352
BST2	chr19	17513748	17516457	-	1.516045861	0.0000176939115839873875
CTD-2521M24.9	chr19	17516503	17529713	+	1.390387769	0.0000040013959233496011
FAM125A	chr19	17516531	17544533	+	0.565515465	0.4363802921085925268230
TMEM221	chr19	17546318	17559376	-	0.181321505	1.0000000000000000000000
CTD-2521M24.11	chr19	17563020	17563778	-	NA	NA
NXNL1	chr19	17566234	17571763	-	NA	NA
AC010319.1	chr19	17568066	17568166	+	NA	NA
AC008397.1	chr19	18520504	18520592	-	NA	NA
AC007773.3	chr19	32895915	32896466	+	NA	NA
PDCD5	chr19	33071974	33078358	+	-0.101091738	1.0000000000000000000000
ANKRD27	chr19	33087913	33167028	-	-0.163911922	1.0000000000000000000000
RGS9BP	chr19	33166313	33169206	+	-0.202140622	1.0000000000000000000000
CTD-2538C1.2	chr19	33177995	33182656	-	0.652103653	0.9062725701024705315945
NUDT19	chr19	33182867	33204702	+	0.143716808	1.0000000000000000000000
CTD-2538C1.3	chr19	33209204	33210501	-	NA	NA
TDRD12	chr19	33210659	33320483	+	-0.526443943	1.0000000000000000000000
SLC7A9	chr19	33321415	33360672	-	NA	NA
CTD-2085J24.4	chr19	33366831	33369327	-	-0.299184021	1.0000000000000000000000
CTC-263F14.5	chr19	33440310	33441930	-	NA	NA
ZNF780A	chr19	40575059	40596845	-	0.113609926	1.0000000000000000000000
MAP3K10	chr19	40697651	40721482	+	-0.163269323	1.0000000000000000000000
AC118344.1	chr19	40710019	40710106	+	-0.567292485	1.0000000000000000000000
TTC9B	chr19	40721965	40724306	-	-0.344761296	1.0000000000000000000000
CNTD2	chr19	40728115	40732597	-	NA	NA
CEACAM6	chr19	42254885	42276113	+	6.110677491	0.0000000000000029936465
CEACAM3	chr19	42300369	42315591	+	0.943219468	0.0128520892162662953712
AC020956.3	chr19	42337740	42340005	-	NA	NA
LYPD4	chr19	42341148	42348760	-	NA	NA
DMRTC2	chr19	42348806	42356401	+	0.848094611	1.0000000000000000000000
RPS19	chr19	42363988	42376994	+	0.092431087	1.0000000000000000000000
CADM4	chr19	44126520	44143991	-	0.947644358	0.0212053004879039289077
PLAUR	chr19	44150247	44174699	-	0.949743481	0.0109384680343816310250
AC006953.1	chr19	44167328	44167426	-	1.107200759	0.0880471118192565210814
MAMSTR	chr19	49215999	49222978	-	-0.472383010	1.0000000000000000000000
RASIP1	chr19	49223844	49243978	-	0.262728925	1.0000000000000000000000
IZUMO1	chr19	49244109	49250166	-	NA	NA
FUT1	chr19	49251268	49258647	-	-0.338772601	1.0000000000000000000000
FGF21	chr19	49258816	49261587	+	NA	NA
BCAT2	chr19	49298322	49314320	-	-0.205171608	1.0000000000000000000000
HSD17B14	chr19	49316274	49339935	-	-0.223019422	1.0000000000000000000000
RP5-1125A11.4	chr20	32602775	32605555	-	0.475710103	1.0000000000000000000000
MIR4755	chr20	32636925	32636996	+	0.698711046	1.0000000000000000000000
EIF2S2	chr20	32676104	32700138	-	0.320337849	1.0000000000000000000000
ASIP	chr20	32782375	32857150	+	-0.800264047	1.0000000000000000000000
AHCY	chr20	32868074	32899608	-	0.054021710	1.0000000000000000000000
ITCH	chr20	32951041	33099198	+	0.044408287	1.0000000000000000000000
MIR644A	chr20	33054130	33054223	+	NA	NA
DYNLRB1	chr20	33104214	33128762	+	0.266638394	1.0000000000000000000000
MAP1LC3A	chr20	33134658	33148149	+	0.626829445	1.0000000000000000000000
PIGU	chr20	33148346	33264910	-	-0.258779683	1.0000000000000000000000
TRPC4AP	chr20	33590207	33680674	-	0.184036934	1.0000000000000000000000
PROCR	chr20	33759876	33765165	+	-0.573840404	0.9452671851363588784167
RNA5SP483	chr20	33783109	33783226	+	NA	NA
RP4-614O4.12	chr20	33789550	33791091	-	0.383242266	1.0000000000000000000000
AP001058.3	chr21	45626408	45627282	-	-1.253968027	1.0000000000000000000000
ICOSLG	chr21	45642874	45660849	-	-0.683073939	0.4869901849679869054732
DNMT3L	chr21	45666222	45682099	-	-0.542669263	1.0000000000000000000000
AIRE	chr21	45705721	45718531	+	-0.797989724	0.1542375523403522186161
AP1B1	chr22	29723669	29819168	-	0.016396727	1.0000000000000000000000
RFPL1	chr22	29834572	29838444	+	NA	NA
NEFH	chr22	29876219	29887379	+	-0.064199939	1.0000000000000000000000
CDC42EP1	chr22	37956454	37965412	+	0.009571680	1.0000000000000000000000
LGALS2	chr22	37966255	37978623	-	0.481455443	1.0000000000000000000000
AL022315.1	chr22	37968206	37974633	+	-0.039094968	1.0000000000000000000000
GGA1	chr22	38004481	38029571	+	-0.004219090	1.0000000000000000000000
SH3BP1	chr22	38030661	38062939	+	0.153544461	1.0000000000000000000000
PDXP	chr22	38054734	38062941	+	0.149110726	1.0000000000000000000000
LGALS1	chr22	38071615	38075813	+	0.863298650	0.0489094325215110869998
NOL12	chr22	38077680	38089483	+	0.179799184	1.0000000000000000000000
TRIOBP	chr22	38093011	38172563	+	0.568282721	0.3147083977681352506828
H1F0	chr22	38201114	38203442	+	0.792376118	0.2308981657146201849073
GCAT	chr22	38203912	38213183	+	0.241524799	1.0000000000000000000000
GALR3	chr22	38219389	38221502	+	NA	NA
CSNK1E	chr22	38686697	38794527	-	-0.214050134	1.0000000000000000000000
KCNJ4	chr22	38822332	38851205	-	NA	NA
KDELR3	chr22	38864067	38879452	+	0.079679241	1.0000000000000000000000
DDX17	chr22	38879445	38903665	-	0.094750914	1.0000000000000000000000
DMC1	chr22	38914954	38966291	-	1.511694860	0.0570033101436509884175
FAM227A	chr22	38974125	39052634	-	0.064494312	1.0000000000000000000000
CBY1	chr22	39052641	39069859	+	-0.121092157	1.0000000000000000000000
TOMM22	chr22	39077953	39080818	+	0.039870690	1.0000000000000000000000
APOBEC3B	chr22	39378352	39388809	+	1.360364088	0.2190478026885825102443
APOBEC3C	chr22	39410088	39414931	+	-0.007547699	1.0000000000000000000000
APOBEC3D	chr22	39410368	39429256	+	-0.232613562	1.0000000000000000000000
APOBEC3F	chr22	39436609	39449915	+	0.153993225	1.0000000000000000000000
APOBEC3G	chr22	39436924	39483748	+	0.127318513	1.0000000000000000000000
APOBEC3H	chr22	39493229	39500072	+	-0.074106536	1.0000000000000000000000
